n   │ A006255 │ A277494
────┼─────────┼─────────
2   │ 6       │ 4
3   │ 8       │ 6
4   │ 4       │ 9
8   │ 15      │ 8
9   │ 9       │ 16
10  │ 18      │ 15
12  │ 20      │ 18
15  │ 24      │ 20
16  │ 16      │ 24
18  │ 27      │ 25
20  │ 30      │ 28
21  │ 28      │ 30
25  │ 25      │ 35
27  │ 35      │ 27
28  │ 40      │ 36
30  │ 42      │ 40
35  │ 48      │ 42
36  │ 36      │ 48
42  │ 56      │ 49
45  │ 60      │ 54
48  │ 54      │ 60
49  │ 49      │ 56
72  │ 88      │ 81
75  │ 90      │ 88
80  │ 98      │ 90
81  │ 81      │ 98
84  │ 104     │ 99
88  │ 99      │ 100
90  │ 105     │ 104
91  │ 110     │ 105
98  │ 112     │ 110
99  │ 117     │ 112
100 │ 100     │ 117
104 │ 120     │ 121
105 │ 125     │ 120
110 │ 132     │ 128
112 │ 128     │ 132
121 │ 121     │ 140
125 │ 140     │ 125
126 │ 147     │ 143
128 │ 143     │ 144
135 │ 156     │ 147
140 │ 160     │ 156
143 │ 165     │ 160
144 │ 144     │ 162
147 │ 162     │ 165
150 │ 175     │ 168
154 │ 168     │ 169
156 │ 182     │ 176
160 │ 176     │ 175
168 │ 189     │ 182
169 │ 169     │ 189
170 │ 190     │ 192
171 │ 195     │ 190
175 │ 192     │ 196
180 │ 200     │ 195
182 │ 208     │ 200
189 │ 210     │ 208
192 │ 216     │ 210
196 │ 196     │ 221
200 │ 221     │ 225
216 │ 243     │ 216
224 │ 252     │ 243
225 │ 225     │ 250
231 │ 264     │ 245
240 │ 245     │ 252
242 │ 250     │ 264
243 │ 270     │ 266
245 │ 272     │ 270
247 │ 266     │ 272
250 │ 275     │ 256
255 │ 285     │ 275
256 │ 256     │ 280
260 │ 280     │ 285
266 │ 294     │ 289
272 │ 306     │ 294
273 │ 304     │ 299
276 │ 299     │ 300
280 │ 308     │ 304
285 │ 315     │ 306
288 │ 300     │ 308
289 │ 289     │ 320
297 │ 320     │ 315
300 │ 325     │ 324
304 │ 336     │ 325
315 │ 343     │ 336
320 │ 342     │ 350
323 │ 352     │ 342
324 │ 324     │ 351
325 │ 351     │ 357
330 │ 357     │ 352
338 │ 350     │ 361
340 │ 363     │ 364
342 │ 380     │ 363
343 │ 364     │ 343
357 │ 385     │ 380
361 │ 361     │ 385
364 │ 392     │ 391
368 │ 391     │ 396
375 │ 396     │ 392
378 │ 405     │ 400
384 │ 414     │ 405
385 │ 418     │ 414
391 │ 425     │ 418
400 │ 400     │ 437
405 │ 440     │ 425
408 │ 437     │ 440
414 │ 450     │ 441
425 │ 459     │ 450
441 │ 441     │ 459
442 │ 475     │ 483
448 │ 476     │ 475
450 │ 480     │ 476
455 │ 490     │ 480
456 │ 483     │ 484
460 │ 493     │ 490
462 │ 495     │ 493
464 │ 504     │ 495
475 │ 513     │ 507
484 │ 484     │ 504
486 │ 507     │ 513
490 │ 512     │ 520
494 │ 520     │ 529
500 │ 540     │ 532
506 │ 552     │ 540
512 │ 550     │ 512
513 │ 532     │ 550
525 │ 560     │ 552
528 │ 561     │ 560
529 │ 529     │ 561
539 │ 575     │ 572
544 │ 572     │ 575
546 │ 578     │ 576
550 │ 585     │ 578
552 │ 588     │ 585
560 │ 594     │ 588
561 │ 595     │ 594
567 │ 609     │ 595
576 │ 576     │ 600
578 │ 600     │ 609
580 │ 612     │ 621
585 │ 621     │ 624
588 │ 616     │ 612
594 │ 624     │ 616
598 │ 637     │ 625
605 │ 648     │ 637
624 │ 663     │ 648
625 │ 625     │ 650
627 │ 665     │ 663
637 │ 650     │ 665
650 │ 682     │ 676
651 │ 696     │ 682
663 │ 702     │ 696
665 │ 700     │ 686
667 │ 713     │ 700
672 │ 686     │ 704
675 │ 720     │ 713
676 │ 676     │ 702
684 │ 740     │ 722
686 │ 722     │ 728
693 │ 704     │ 720
700 │ 728     │ 735
703 │ 741     │ 740
704 │ 754     │ 741
715 │ 759     │ 754
720 │ 735     │ 750
722 │ 750     │ 756
725 │ 756     │ 760
726 │ 760     │ 759
728 │ 768     │ 765
735 │ 770     │ 768
736 │ 765     │ 770
748 │ 792     │ 783
750 │ 783     │ 792
759 │ 805     │ 784
765 │ 806     │ 805
770 │ 812     │ 806
783 │ 828     │ 812
784 │ 784     │ 828
