n    | a(n) | Example sequence (b_1 * b_2 * ... * b_t)
-----+------+----------------------------------------------------------------------------------------------------------------
0    | 0    | 0
1    | 1    | 1
2    | 4    | 2 * 4
3    | 6    | 3 * 4 * 4 * 6 * 6
4    | 9    | 4 * 6 * 9
5    | 10   | 5 * 6 * 9 * 10 * 10
6    | 12   | 6 * 9 * 9 * 12
7    | 14   | 7 * 9 * 9 * 12 * 12 * 14 * 14
8    | 8    | 8
9    | 16   | 9 * 12 * 16
10   | 15   | 10 * 12 * 15 * 15
11   | 22   | 11 * 16 * 22 * 22
12   | 18   | 12 * 18
13   | 26   | 13 * 16 * 26 * 26
14   | 21   | 14 * 18 * 18 * 21 * 21
15   | 20   | 15 * 16 * 18 * 20 * 20
16   | 24   | 16 * 18 * 18 * 24 * 24
17   | 34   | 17 * 18 * 24 * 34 * 34
18   | 25   | 18 * 20 * 24 * 25
19   | 38   | 19 * 20 * 20 * 25 * 25 * 38 * 38
20   | 28   | 20 * 21 * 24 * 24 * 25 * 28 * 28
21   | 30   | 21 * 25 * 25 * 28 * 28 * 30 * 30
22   | 33   | 22 * 24 * 24 * 25 * 25 * 30 * 30 * 33 * 33
23   | 46   | 23 * 24 * 24 * 25 * 30 * 46 * 46
24   | 32   | 24 * 25 * 25 * 30 * 30 * 32 * 32
25   | 35   | 25 * 28 * 28 * 32 * 35
26   | 39   | 26 * 28 * 30 * 32 * 35 * 35 * 39 * 39
27   | 27   | 27
28   | 36   | 28 * 30 * 32 * 32 * 35 * 35 * 36
29   | 58   | 29 * 32 * 32 * 58 * 58
30   | 40   | 30 * 36 * 40 * 40
31   | 62   | 31 * 32 * 32 * 62 * 62
32   | 45   | 32 * 36 * 36 * 40 * 40 * 45
33   | 44   | 33 * 36 * 44 * 44
34   | 51   | 34 * 36 * 40 * 40 * 45 * 51 * 51
35   | 42   | 35 * 36 * 36 * 40 * 40 * 42 * 42
36   | 48   | 36 * 48
37   | 74   | 37 * 40 * 40 * 45 * 48 * 74 * 74
38   | 57   | 38 * 40 * 40 * 45 * 48 * 48 * 57 * 57
39   | 52   | 39 * 48 * 48 * 52 * 52
40   | 50   | 40 * 45 * 48 * 50 * 50
41   | 82   | 41 * 45 * 45 * 48 * 48 * 50 * 50 * 82 * 82
42   | 49   | 42 * 48 * 48 * 49
